name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
Ford,ford,1963,1963/6/16,,,,"202,000",ford.com,$756M,$158.7B,DearbornMichigan,Public,1956-01-01,Y,NYSE,,Toyota,Honda,Chevrolet,Nissan,Hyundai Motor,Volkswagen,Volkswagen,General Motors,,,
Toyota,toyota-global,1903,1903/6/17,,,,"369,124",toyota-global.com,$ -,$470.2B,Toyota CityAichi Prefecture,Public,1978-01-13,Y,NYSE,,Nissan,Honda,Ford Motor,Volkswagen,General Motors,Hyundai Motor,BMW Group,Tata Motors,,,
Honda,honda,1948,1948/9/24,,,,"215,638",honda.com,$ -,$138.9B,Minato-kuTōkyō Prefecture,Public,1978-01-13,Y,BMV,,Toyota,Nissan,Ford Motor,Volkswagen,Hyundai Motor,General Motors,Chrysler,,,,
Chevrolet,chevrolet,1911,1911/11/1,,,,"20,000",chevrolet.com,$ -,$11.5B,"Oshawa,Ontario",Private,,Y,,,Hyundai Motor,Ford Motor,Kia,Nissan,Toyota,Honda,Volkswagen,Chrysler,,,
Nissan,nissan-global,1933,1933/12/26,,,,"152,421",nissan-global.com,$ -,$106.1B,Yokohama-shiKanagawa Prefecture,Private,,Y,,,Hyundai Motor,Acura,Honda,Peugeot,Toyota Motor Sales,Volkswagen,SAIC Motor,Toyota,,,
Hyundai Motor,hyundai,1967,1967/12/29,,,,"63,099",hyundai.com,$ -,$73.1B,SeoulSeoul Teugbyeolsi,Public,2003-01-10,Y,Korea Exchange,,Nissan,Mercedes-Benz,Mazda Motor,Honda,Volkswagen,Audi,Toyota,General Motors,,,
Volkswagen,volkswagenag,1937,1937/5/28,,,,"642,300",volkswagenag.com,$ -,$286.9B,"Wolfsburg,Other",Public,2002-01-11,Y,ETR,,Toyota,General Motors,Honda,Nissan,Ford Motor,Hyundai Motor,Tata Motors,Dodge,,,
General Motors,gm,1908,1908/9/16,,,,"190,000",gm.com,$15.8B,$105.9B,"Detroit,Michigan",Public,2010-11-26,Y,"NYSE,GM",,Ford Motor,Toyota,Volkswagen,Honda,Dodge,Hyundai Motor,Chrysler,Audi,,,
BMW Group,bmwgroup,1916,1916/3/7,,,,"129,932",bmwgroup.com,$ -,$103.2B,"Munich,Bavaria",Private,,Y,,,Audi,Toyota,Volkswagen,Honda,Mercedes-Benz,Nissan,Lexus,General Motors,,,
Tata Motors,tatamotors,1945,1945/1/1,,,,"79,558",tatamotors.com,$45M,$41B,"Mumbai,Maharashtra",Public,2004-10-08,Y,Bombay Stock Exchange,,Nissan,Honda,Ford Motor,Toyota,Ashok Leyland,Hyundai Motor,Maruti Suzuki,Volkswagen,,,
Chrysler,chrysler,1925,1925/6/6,,,,"77,817",chrysler.com,$70M,$119.1B,"Auburn,HillsMichigan",Private,,Y,,,Honda,Ford Motor,Toyota,Nissan,General Motors,Volkswagen,Hyundai Motor,Toyota Motor Sales,,,
Kia,kia,1944,1944/12/11,,,,"42,000",kia.com,$ -,$44.8B,"SeoulSeoul,Teugbyeolsi",Public,2003-01-10,Y,Korea Exchange,,Hyundai Motor,Honda,Ford Motor,Nissan,Toyota,Chevrolet,Volkswagen,,,,
Acura,acura,1986,1986/3/27,,,,"23,805",acura.com,$ -,$2.6B,TorranceCalifornia,Private,,"American Honda Motor Co., Inc.",,,Lexus,Nissan,Audi,Mercedes-Benz,BMW Group,Porsche,Hyundai Motor,Volkswagen,,,
Peugeot,peugeot1,1810,1810/1,,,,"50,000",peugeot.com,$ -,$58B,"Paris,Other",Private,,Groupe PSA,,,Honda,Toyota,Nissan,Ford Motor,Volkswagen,General Motors,Hyundai Motor,,,,
Toyota Motor Sales,toyotapr,1960,1960,,,,227,toyotapr.com,$ -,$25.7M,"San Juan,Other",Private,,Toyota,,,Nissan,Ford Motor,Honda,Toyota,Volkswagen,Hyundai Motor,Chrysler,,,,
SAIC Motor,saicgroup,1955,1955/6/1,,,,"163,817",saicgroup.com,$ -,$75.7B,"Shanghai,Shanghai Municipality",Private,,Y,,,Nissan,Hyundai Motor,Honda,Toyota,Volkswagen,Ford Motor,Mazda Motor,,,,
Mercedes-Benz,mercedes-benz,1926,1926/6/28,,,,"143,000",mercedes-benz.com,$ -,$34.8B,"Stuggart,Baden-Württemberg",Private,,Daimler AG,,,Audi,Lexus,Volkswagen,BMW Group,Porsche,Toyota,General Motors,Ford Motor,,,
Mazda Motor,mazda,1920,1920/1/30,,,,"48,849",mazda.com,$ -,$32.7B,"Aki-gun,Hiroshima Prefecture",Public,1999-05-14,Y,,,Nissan,Hyundai Motor,Honda,Mercedes-Benz,Acura,Volkswagen,Peugeot,Toyota Motor Sales,,,
Audi,audi,1909,1909/7/16,,,,"87,352",audi.com,$ -,$75.4B,"Ingolstadt,Bavaria",Private,,Volkswagen AG,,,BMW Group,Lexus,Mercedes-Benz,Porsche,Infiniti,Maserati,Toyota,Acura,,,
Dodge,dodge,1900,1900,,,,"2,500",dodge.com,$ -,$384.2M,"Auburn Hills,Michigan",Private,,Chrysler Group LLC,,,General Motors,Volkswagen,Audi,Toyota,Honda,Ford Motor,Nissan,Hyundai Motor,,,
Lexus,lexus,1989,1989,,,,"57,241",lexus.com,$ -,$20B,"Plano,Texas",Private,,"Toyota Motor Sales, U.S.A., Inc.",,,Audi,Mercedes-Benz,BMW Group,Porsche,Volvo,Jaguar Land Rover,Acura,Volkswagen,,,
Ashok Leyland,ashokleyland,1948,1948/9/7,,,,"14,668",ashokleyland.com,$ -,$3.1B,"Chennai,Tamil Nadu",Public,2004-07-09,Y,Bombay Stock Exchange,,Tata Motors,Bharat Benz,Eicher,Mahindra,Honda,Nissan,Ford Motor,Maruti Suzuki,,,
Maruti Suzuki,marutisuzuki,1909,1909/10/1,,,,"12,547",marutisuzuki.com,$ -,$10.3B,"New Delhi,Delhi",Private,,Suzuki Motor Corporation,,,Tata Motors,Honda,Hyundai Motor,Nissan,Ford Motor,Toyota,Volkswagen,,,,
Porsche,porsche,1931,1931/4/25,,,,"59,205",porsche.com,$ -,$19.9B,"Stuttgart,Baden-Württemberg",Private,,Y,,,BMW Group,Lexus,Tesla,Aston Martin,Ferrari,Audi,Jaguar,Mercedes-Benz,,,
Infiniti,infiniti,1989,1989/11/8,,,,"2,750",infiniti.com,$ -,$250M,Hong Kong,Private,,Y,,,Audi,Acura,Lexus,Mercedes-Benz,BMW Group,Porsche,Maserati,Volvo,,,
