name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
The New York Times,newyorktimes,1851,1851-09-18,,,,"3,790",www.nytimes.com,$250M,$1.7B,"New York, New York",Public,1978-01-13,Y,NYSE,NYT,News Corp,Time Inc.,THE WALL STREET JOURNAL,FORTUNE,The Washington Post,Bloomberg,GANNETT,HEARST,,,
News Corp,newscorporation,1979,,,,,"28,000",newscorp.com,$12.5M,$8.4B,"New York, New York",Public,2013-06-28,Y,NASDAQ,NWSA,McGRAW HILL FINANCIAL,SUNGARD,Valassis,ITN,The Walt Disney Company,CBS CORPORATION,Colors,CUMULUS,,,
Time Inc.,time,1922,1922-11-28,,2018-02-26,electra-partners,"7,450",www.ti-media.com,,$2.9B,"New York, New York",Public,2014-05-30,Epiris,NYSE,TIME,The New York Times,News Corp,GANNETT,HEARST,COX Media,McCLATCHY,SCRIPPS,ACBJ,,,"Changed name to ""TI Media"""
THE WALL STREET JOURNAL,wall-street-journal,1889,1889-07-08,,,,"2,200",wsj.com,,$420.5M,"New York, New York",Private,,Dow Jones & Company,,,The New York Times,FINANCIAL TIMES,Forbes,USA TODAY,The Economist,The Guardian,FORTUNE,The Economist Group,,,
FORTUNE,fortune-magazine,1930,,,,,"7,500",fortune.com,,$1.1B,"New York, New York",Product/Brand/Service,,Time Inc,,,THE WALL STREET JOURNAL,FAST COMPANY,Harvard Business Review,Entrepreneur,Bloomberg,The New York Times,Forbes,BUSINESS INSIDER,,,
The Washington Post,washington-post,1877,1877-01-01,,,,"1,339",washingtonpost.com,,$709M,"Washington, District of Columbia",Private,,Graham Holdings Company,,,The Guardian,Tribune Publishing,The New York Times,Time Inc.,The Telegraph,News Corp,POLITICO,THE WALL STREET JOURNAL,,,
Bloomberg,bloomberg,1981,1981-01-01,,,,"19,000",bloomberg.com,$75M,$9.4B,"New York, New York",Private,,Y,,,THOMSON REUTERS,PitchBook,DOW JONES,Mergermarket,Preqin,Tradeweb,RELX Group,S&P Global,,,
GANNETT,gannett,1906,,,,,"15,300",gannett.com,,$3.1B,"McLean, Virginia",Public,1978-01-13,Y,NYSE,GCI,HEARST,Meredith,COX Media,McCLATCHY,ACBJ,SCRIPPS,AOL,Time Inc.,,,
HEARST,hearstcorporation,1887,1887-03-04,,,,"20,000",hearst.com,,$10.8B,"New York, New York",Private,,Y,,,Meredith,Time Inc.,GANNETT,"ENGAGED MEDIA, INC.",BMJ,BBC,The New York Times,McCLATCHY,,,
McGRAW HILL FINANCIAL,mcgraw-hill-financial,1888,,,,,"20,400",www.spglobal.com,,$6.1B,"New York, New York",Public,,Y,NYSE,MHFI,THOMSON REUTERS,MOODY'S,Fitch Ratings,Bloomberg,Lex Machina,S&P Global,UZABASE,LexisNexis,,,"Changed name to ""S&P Global"""
SUNGARD,sungard,1982,,,2015-08-12,fis,"11,731",sungard.com,$316M,$2.7B,"Wayne, Pennsylvania",Private,,"Fidelity National Information Services, Inc.",,,Broadridge,SS&C,SS&C ADVENT,Fidessa,CALYPSO,MUREX,MISYS,OpenLink,,,
Valassis,valassis,1970,,,2013-12-18,harland-clarke-holdings,"3,000",valassis.com,,$2.4B,"Livonia, Michigan",Private,,Harland Clarke Corp.,NYSE,VCI,NEWS AMERICA MARKETING,Insignia,News Corp,Orlando Sentinel,Invisipon,Inmar,Mspark,REVTRAX,,,
ITN,itn-2,1954,,,,,97,itn.co.uk,,$9.6M,"London, England",Private,,Y,,,News Corp,Sky,Channel 4,BBC,WAZEE DIGITAL,ITV,BT,Channel 5,,,
