"source","target","rank","weight"
"ford","toyota-global",1,1
"ford","honda",2,1
"ford","chevrolet",3,1
"ford","nissan-global",4,1
"ford","hyundai",5,1
"ford","volkswagenag",6,1
"ford","volkswagenag",7,1
"ford","gm",8,1
"toyota-global","nissan-global",1,1
"toyota-global","honda",2,1
"toyota-global","volkswagenag",4,1
"toyota-global","gm",5,1
"toyota-global","hyundai",6,1
"toyota-global","bmwgroup",7,1
"toyota-global","tatamotors",8,1
"honda","toyota-global",1,1
"honda","nissan-global",2,1
"honda","volkswagenag",4,1
"honda","hyundai",5,1
"honda","gm",6,1
"honda","chrysler",7,1
"chevrolet","hyundai",1,1
"chevrolet","kia",3,1
"chevrolet","nissan-global",4,1
"chevrolet","toyota-global",5,1
"chevrolet","honda",6,1
"chevrolet","volkswagenag",7,1
"chevrolet","chrysler",8,1
"nissan-global","hyundai",1,1
"nissan-global","acura",2,1
"nissan-global","honda",3,1
"nissan-global","peugeot1",4,1
"nissan-global","toyotapr",5,1
"nissan-global","volkswagenag",6,1
"nissan-global","saicgroup",7,1
"nissan-global","toyota-global",8,1
"hyundai","nissan-global",1,1
"hyundai","mercedes-benz",2,1
"hyundai","mazda",3,1
"hyundai","honda",4,1
"hyundai","volkswagenag",5,1
"hyundai","audi",6,1
"hyundai","toyota-global",7,1
"hyundai","gm",8,1
"volkswagenag","toyota-global",1,1
"volkswagenag","gm",2,1
"volkswagenag","honda",3,1
"volkswagenag","nissan-global",4,1
"volkswagenag","hyundai",6,1
"volkswagenag","tatamotors",7,1
"volkswagenag","dodge",8,1
"gm","toyota-global",2,1
"gm","volkswagenag",3,1
"gm","honda",4,1
"gm","dodge",5,1
"gm","hyundai",6,1
"gm","chrysler",7,1
"gm","audi",8,1
"bmwgroup","audi",1,1
"bmwgroup","toyota-global",2,1
"bmwgroup","volkswagenag",3,1
"bmwgroup","honda",4,1
"bmwgroup","mercedes-benz",5,1
"bmwgroup","nissan-global",6,1
"bmwgroup","lexus",7,1
"bmwgroup","gm",8,1
"tatamotors","nissan-global",1,1
"tatamotors","honda",2,1
"tatamotors","toyota-global",4,1
"tatamotors","ashokleyland",5,1
"tatamotors","hyundai",6,1
"tatamotors","marutisuzuki",7,1
"tatamotors","volkswagenag",8,1
"chrysler","honda",1,1
"chrysler","toyota-global",3,1
"chrysler","nissan-global",4,1
"chrysler","gm",5,1
"chrysler","volkswagenag",6,1
"chrysler","hyundai",7,1
"chrysler","toyotapr",8,1
"kia","hyundai",1,1
"kia","honda",2,1
"kia","nissan-global",4,1
"kia","toyota-global",5,1
"kia","chevrolet",6,1
"kia","volkswagenag",7,1
"acura","lexus",1,1
"acura","nissan-global",2,1
"acura","audi",3,1
"acura","mercedes-benz",4,1
"acura","bmwgroup",5,1
"acura","porsche",6,1
"acura","hyundai",7,1
"acura","volkswagenag",8,1
"peugeot1","honda",1,1
"peugeot1","toyota-global",2,1
"peugeot1","nissan-global",3,1
"peugeot1","volkswagenag",5,1
"peugeot1","gm",6,1
"peugeot1","hyundai",7,1
"toyotapr","nissan-global",1,1
"toyotapr","honda",3,1
"toyotapr","toyota-global",4,1
"toyotapr","volkswagenag",5,1
"toyotapr","hyundai",6,1
"toyotapr","chrysler",7,1
"saicgroup","nissan-global",1,1
"saicgroup","hyundai",2,1
"saicgroup","honda",3,1
"saicgroup","toyota-global",4,1
"saicgroup","volkswagenag",5,1
"saicgroup","mazda",7,1
"mercedes-benz","audi",1,1
"mercedes-benz","lexus",2,1
"mercedes-benz","volkswagenag",3,1
"mercedes-benz","bmwgroup",4,1
"mercedes-benz","porsche",5,1
"mercedes-benz","toyota-global",6,1
"mercedes-benz","gm",7,1
"mazda","nissan-global",1,1
"mazda","hyundai",2,1
"mazda","honda",3,1
"mazda","mercedes-benz",4,1
"mazda","acura",5,1
"mazda","volkswagenag",6,1
"mazda","peugeot1",7,1
"mazda","toyotapr",8,1
"audi","bmwgroup",1,1
"audi","lexus",2,1
"audi","mercedes-benz",3,1
"audi","porsche",4,1
"audi","infiniti",5,1
"audi","maserati",6,1
"audi","toyota-global",7,1
"audi","acura",8,1
"dodge","gm",1,1
"dodge","volkswagenag",2,1
"dodge","audi",3,1
"dodge","toyota-global",4,1
"dodge","honda",5,1
"dodge","nissan-global",7,1
"dodge","hyundai",8,1
"lexus","audi",1,1
"lexus","mercedes-benz",2,1
"lexus","bmwgroup",3,1
"lexus","porsche",4,1
"lexus","volvocars",5,1
"lexus","jaguarlandrover",6,1
"lexus","acura",7,1
"lexus","volkswagenag",8,1
"ashokleyland","tatamotors",1,1
"ashokleyland","bharatbenz",2,1
"ashokleyland","eicher",3,1
"ashokleyland","mahindratruckandbus",4,1
"ashokleyland","honda",5,1
"ashokleyland","nissan-global",6,1
"ashokleyland","marutisuzuki",8,1
