"competitor_name_unique","company_name_unique","rank","weight","company_uuid","company_founded_on","company_acquired_on","company_closed_on","competitor_uuid","competitor_founded_on","competitor_acquired_on","competitor_closed_on"
"1-1-internet-se","telecom-italia",4,1,"fb9f4a62-eb31-aae7-185f-6f6ede984669","1908-01-01",NA,NA,"518f3a73-1bfe-44cf-9a45-6b71aad72879","1988-06-01",NA,NA
"1-1-internet-se","deutsche-telekom",1,1,"ab47d80c-7971-c8e6-b620-7483498d0c5b","1995-01-01",NA,NA,"518f3a73-1bfe-44cf-9a45-6b71aad72879","1988-06-01",NA,NA
"1-1-internet-se","deutsche-glasfaser",3,1,"f4d32593-fdea-d9d6-c44e-15b17ea51c08","2012-01-01","2015-07-20",NA,"518f3a73-1bfe-44cf-9a45-6b71aad72879","1988-06-01",NA,NA
"1-1-internet-se","bt",4,1,"c683360d-9535-9172-583f-8023d7ff9ab9","1980-10-01",NA,NA,"518f3a73-1bfe-44cf-9a45-6b71aad72879","1988-06-01",NA,NA
"1-1-internet-se","orange",4,1,"a0350af1-0869-d550-8103-cacc3a9b9ef8","1991-01-01",NA,NA,"518f3a73-1bfe-44cf-9a45-6b71aad72879","1988-06-01",NA,NA
"1105-media-inc","access-intelligence",4,1,"f72ec205-fcda-3bdd-b442-77a05e0d7dd2","1977-01-01",NA,NA,"0eb2bb38-7125-009f-2eab-1cde918a3d81","2006-01-01",NA,NA
"1105-media-inc","pennwell-corporation",3,1,"c646c45e-d6bf-f63a-0915-e65c6158ea70","1910-01-01","2018-04-03",NA,"0eb2bb38-7125-009f-2eab-1cde918a3d81","2006-01-01",NA,NA
"1aauto","hanyale",8,1,"860b79e1-fd46-43b5-92e3-bf4d6716c793","1990-01-01",NA,NA,"ba8edcf9-a046-4a02-808a-a14228cf5895","1999-01-01",NA,NA
"21st-century-fox","disney-abc-television-group",3,1,"67bfd456-697d-7ffc-933c-775d3727dc29","1985-01-01",NA,NA,"ddfe6b91-4541-7f5c-7d6a-724f75c98088","2013-06-28","2017-12-14",NA
"21st-century-fox","a-e-television-networks",6,1,"726caeff-2eff-594c-4eb6-dec076a6e9b4","1984-02-01",NA,NA,"ddfe6b91-4541-7f5c-7d6a-724f75c98088","2013-06-28","2017-12-14",NA
"21st-century-fox","viacom",5,1,"4522b60d-0b04-827e-2b6c-6eaf236cf636","1971-01-01",NA,NA,"ddfe6b91-4541-7f5c-7d6a-724f75c98088","2013-06-28","2017-12-14",NA
"21st-century-fox","discovery-inc",4,1,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA,"ddfe6b91-4541-7f5c-7d6a-724f75c98088","2013-06-28","2017-12-14",NA
"21st-century-fox","nbcuniversal",3,1,"a4aa27bd-c688-65b1-a02a-4f02d021d958","2004-05-01","2011-01-29",NA,"ddfe6b91-4541-7f5c-7d6a-724f75c98088","2013-06-28","2017-12-14",NA
"21st-century-fox","turner-broadcasting",5,1,"74f2e7d5-412e-2305-ded9-946728a6502a","1970-01-01","1996-09-23",NA,"ddfe6b91-4541-7f5c-7d6a-724f75c98088","2013-06-28","2017-12-14",NA
"8tracks","pandora",6,1,"aeec75a9-d7a3-71e6-94ff-4e5ce16b4d0d","2000-01-03",NA,NA,"2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"8tracks","guvera",5,1,"cf509a4d-499f-25b4-9094-141fc9513155","2008-01-01",NA,"2017-05-15","2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"8tracks","live365",2,1,"cb1524ca-c440-634c-22dd-1c516024de2c","1999-08-01","2018-02-20",NA,"2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"8tracks","wour-fm",1,1,"defb529b-9aa4-45ca-a4b2-8b32756ee65b","1969-01-01","2018-02-15",NA,"2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"8tracks","tidal",2,1,"6752af98-d1b9-855d-b648-2448e82c3ea9","2014-01-01",NA,NA,"2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"8tracks","spotify",5,1,"022417b5-4980-6c54-0f3c-6736bbbb1a5e","2006-07-14",NA,NA,"2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"8tracks","deezer",2,1,"88ef95ac-cde4-ac9e-fe06-29a167ba46ab","2006-08-01",NA,NA,"2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"8tracks","napster",5,1,"7b23c3e3-1e26-562a-8e84-fec1cbc5b472","1999-06-01","2012-01-26",NA,"2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"8tracks","scatterradio",6,1,"456a326d-6a75-4b3e-a4ba-7578b8823c5e","2009-01-01",NA,"2017-06-08","2251d3da-7c8c-27e8-a7ae-1797af0432fe","2008-08-08",NA,NA
"a-e-television-networks","discovery-inc",3,1,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA,"726caeff-2eff-594c-4eb6-dec076a6e9b4","1984-02-01",NA,NA
"a-e-television-networks","turner-broadcasting",8,1,"74f2e7d5-412e-2305-ded9-946728a6502a","1970-01-01","1996-09-23",NA,"726caeff-2eff-594c-4eb6-dec076a6e9b4","1984-02-01",NA,NA
