"name","company_name_unique","founded_year","founded_date","closed_date","acquired_date","acquired_by_company_name_unique","employees","domain","total_funding_usd","annual_revenue","hq_region","status","ipo_date","independence","stock_symbol_1","stock_symbol_2","competitor_1","competitor_2","competitor_3","competitor_4","competitor_5","competitor_6","competitor_7","competitor_8","competitor_9","competitor_10","notes"
"Ford","ford",1963,"1963/6/16",NA,NA,NA,"202,000","ford.com","$756M","$158.7B","DearbornMichigan","Public","1956-01-01","Y","NYSE",NA,"Toyota","Honda","Chevrolet","Nissan","Hyundai Motor","Volkswagen","Volkswagen","General Motors",NA,NA,NA
"Toyota","toyota-global",1903,"1903/6/17",NA,NA,NA,"369,124","toyota-global.com","$ -","$470.2B","Toyota CityAichi Prefecture","Public","1978-01-13","Y","NYSE",NA,"Nissan","Honda","Ford Motor","Volkswagen","General Motors","Hyundai Motor","BMW Group","Tata Motors",NA,NA,NA
"Honda","honda",1948,"1948/9/24",NA,NA,NA,"215,638","honda.com","$ -","$138.9B","Minato-kuTōkyō Prefecture","Public","1978-01-13","Y","BMV",NA,"Toyota","Nissan","Ford Motor","Volkswagen","Hyundai Motor","General Motors","Chrysler",NA,NA,NA,NA
"Chevrolet","chevrolet",1911,"1911/11/1",NA,NA,NA,"20,000","chevrolet.com","$ -","$11.5B","Oshawa,Ontario","Private",NA,"Y",NA,NA,"Hyundai Motor","Ford Motor","Kia","Nissan","Toyota","Honda","Volkswagen","Chrysler",NA,NA,NA
"Nissan","nissan-global",1933,"1933/12/26",NA,NA,NA,"152,421","nissan-global.com","$ -","$106.1B","Yokohama-shiKanagawa Prefecture","Private",NA,"Y",NA,NA,"Hyundai Motor","Acura","Honda","Peugeot","Toyota Motor Sales","Volkswagen","SAIC Motor","Toyota",NA,NA,NA
"Hyundai Motor","hyundai",1967,"1967/12/29",NA,NA,NA,"63,099","hyundai.com","$ -","$73.1B","SeoulSeoul Teugbyeolsi","Public","2003-01-10","Y","Korea Exchange",NA,"Nissan","Mercedes-Benz","Mazda Motor","Honda","Volkswagen","Audi","Toyota","General Motors",NA,NA,NA
"Volkswagen","volkswagenag",1937,"1937/5/28",NA,NA,NA,"642,300","volkswagenag.com","$ -","$286.9B","Wolfsburg,Other","Public","2002-01-11","Y","ETR",NA,"Toyota","General Motors","Honda","Nissan","Ford Motor","Hyundai Motor","Tata Motors","Dodge",NA,NA,NA
"General Motors","gm",1908,"1908/9/16",NA,NA,NA,"190,000","gm.com","$15.8B","$105.9B","Detroit,Michigan","Public","2010-11-26","Y","NYSE,GM",NA,"Ford Motor","Toyota","Volkswagen","Honda","Dodge","Hyundai Motor","Chrysler","Audi",NA,NA,NA
"BMW Group","bmwgroup",1916,"1916/3/7",NA,NA,NA,"129,932","bmwgroup.com","$ -","$103.2B","Munich,Bavaria","Private",NA,"Y",NA,NA,"Audi","Toyota","Volkswagen","Honda","Mercedes-Benz","Nissan","Lexus","General Motors",NA,NA,NA
"Tata Motors","tatamotors",1945,"1945/1/1",NA,NA,NA,"79,558","tatamotors.com","$45M","$41B","Mumbai,Maharashtra","Public","2004-10-08","Y","Bombay Stock Exchange",NA,"Nissan","Honda","Ford Motor","Toyota","Ashok Leyland","Hyundai Motor","Maruti Suzuki","Volkswagen",NA,NA,NA
